Retention,MaxLevelPassed,User_id,AB_Cohort,SumRevenue,CountBuy,CountAllStart,CountAllFinish,CountCleanStart,CountCleanFinish,Get_Ads,Get_Chapter,Get_Buy,Get_Faceb,Get_TeamL,Get_TeamT,Spend_BonLives,Spend_Bonus,Spend_Boost,Spend_Lives,Spend_Moves,Spend_TeamC,Paying
4,70,2131,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,70,2131,B,0,0,9,5,9,5,0,0,0,0,0,0,0,0,0,0,0,0,False
6,70,2131,B,0,0,26,4,25,4,0,0,0,0,0,0,0,0,0,0,0,0,False
7,70,2131,B,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,74,2132,B,0,0,31,11,27,7,0,0,0,0,0,0,0,0,0,0,0,0,False
1,94,2132,B,0,0,47,20,39,14,0,320,0,0,0,0,0,0,0,0,990,0,False
2,101,2132,B,0,0,29,7,26,7,0,0,0,0,0,0,0,0,0,0,0,0,False
3,114,2132,B,0,0,38,13,37,13,0,0,0,0,0,0,0,0,0,0,0,0,False
4,119,2132,B,0,0,38,5,36,4,0,0,0,0,0,0,0,0,0,0,0,0,False
5,125,2132,B,0,0,106,23,101,20,0,280,0,0,0,0,0,0,0,0,0,0,False
6,134,2132,B,0,0,27,9,24,7,0,0,0,0,0,0,0,0,0,0,0,0,False
7,136,2132,B,0,0,33,2,31,1,0,0,0,0,0,0,0,0,0,0,0,0,False
0,46,2133,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,46,2133,B,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2,50,2133,B,0,0,26,4,25,3,0,0,0,0,0,0,0,0,0,0,0,0,False
4,50,2133,B,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,56,2133,B,0,0,40,10,40,10,0,0,0,0,0,0,0,0,0,0,0,0,False
6,58,2133,B,0,0,24,2,24,2,0,0,0,0,0,0,0,0,0,0,0,0,False
7,59,2133,B,0,0,16,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,False
0,77,2134,B,166,2,25,7,19,6,0,0,6000,0,0,0,0,0,0,0,6550,0,True
1,86,2134,B,0,0,43,9,40,9,0,0,0,0,0,0,0,0,0,0,0,0,True
2,95,2134,B,0,0,30,8,26,6,0,270,0,0,0,0,0,0,0,0,0,0,True
3,96,2134,B,0,0,18,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,True
4,105,2134,B,0,0,57,9,54,8,0,0,0,0,0,0,0,0,0,0,0,0,True
5,117,2134,B,0,0,72,23,67,23,0,0,0,0,0,0,0,0,0,0,0,0,True
6,119,2134,B,0,0,24,2,23,2,0,0,0,0,0,0,0,0,0,0,0,0,True
7,130,2134,B,0,0,59,11,55,11,0,330,0,0,0,0,0,0,0,0,0,0,True
0,17,2135,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,17,2135,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,22,2136,B,0,0,23,8,23,8,0,0,0,0,0,100,0,0,0,0,0,0,False
1,27,2136,B,0,0,26,5,26,5,0,0,0,0,0,0,0,0,0,0,0,0,False
0,43,2137,B,0,0,9,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,False
2,47,2137,B,0,0,13,4,11,3,0,0,0,0,0,0,0,0,0,0,0,0,False
0,27,2138,B,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,33,2138,B,0,0,9,6,9,6,0,0,0,0,0,0,0,0,0,0,0,0,False
